,nodes,SMTBF,NMTBF,MTTR,fixed-failures,repair-time,makespan_sec,avg-avg-pp-slowdown,avg-pp-slowdown-tau,avg_tat,avg_avg_utilization,avg_avg_waiting,avg_avg_waiting_dhms,makespan_dhms,avg_tat_dhms,avg-avg-pp-slowdown_dhms,AAE,SMTBF_failures,MTBF_failures,Fixed_failures,number_of_makespans,rejected_not_enough_available_resources,checkpointed_num,percent_checkpointed,checkpointing_on_num,checkpointing_on_percent,id,job,exp
0,1490,1159731.543624,1728000000.0,False,-1,0.0,25915043.0,3.4999826303511976,60.0,10733.74852800384,0.6536963328181707,7028.984357698389,1:57:08,"299 days, 22:37:23",2:58:53,0:00:03,0.9974261921693981,23.53,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_1,2018
0,1490,579865.771812,864000000.0,False,-1,0.0,25915043.0,3.553919802650973,60.0,10787.42874773661,0.6551952411765106,7080.785573920294,1:58:00,"299 days, 22:37:23",2:59:47,0:00:03,0.9951456186642754,44.81,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_2,2018
0,1490,289932.885906,432000000.0,False,-1,0.0,25915043.0,3.5795046970280113,60.0,10942.680611043688,0.6588641575967921,7231.87179028603,2:00:31,"299 days, 22:37:23",3:02:22,0:00:03,0.9896065431334173,90.27,0.0,0.0,100,0.0,0.25,1.8055495370570982e-06,77.0,0.0005561092574135864,id_1,experiment_3,2018
0,1490,1159731.543624,1728000000.0,False,-1,7200.0,25915043.0,3.5311566478995395,60.0,10750.367712343226,0.6538249337067599,7045.476029189909,1:57:25,"299 days, 22:37:23",2:59:10,0:00:03,0.9972303213341666,23.6,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_4,2018
0,1490,579865.771812,864000000.0,False,-1,7200.0,25915043.0,3.461403904539963,60.0,10778.356407326923,0.6553361952763467,7071.634444286919,1:57:51,"299 days, 22:37:23",2:59:38,0:00:03,0.9949308181160798,46.22,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_5,2018
0,1490,289932.885906,432000000.0,False,-1,7200.0,25915043.0,3.5374656010683556,60.0,10909.266249634791,0.6586902182808507,7198.632957794987,1:59:58,"299 days, 22:37:23",3:01:49,0:00:03,0.9898670388919442,87.98,0.0,0.0,100,0.0,0.19,1.3722176481633948e-06,77.0,0.0005561092574135864,id_1,experiment_6,2018
0,1490,1159731.543624,1728000000.0,False,-1,14400.0,25915043.0,3.5162519422481737,60.0,10737.389507820295,0.6535896795990327,7032.675505271888,1:57:12,"299 days, 22:37:23",2:58:57,0:00:03,0.9975884024087202,23.28,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_7,2018
0,1490,579865.771812,864000000.0,False,-1,14400.0,25915043.0,3.5093108753424467,60.0,10770.93866586262,0.6552201190072823,7064.3088177170475,1:57:44,"299 days, 22:37:23",2:59:30,0:00:03,0.9951078501743129,45.62,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_8,2018
0,1490,289932.885906,432000000.0,False,-1,14400.0,25915043.0,3.5325592956000667,60.0,10918.40715717647,0.6587506771947572,7207.640881101644,2:00:07,"299 days, 22:37:23",3:01:58,0:00:03,0.9897761083946771,91.74,0.0,0.0,100,0.0,0.36,2.5999913333622217e-06,77.0,0.0005561092574135864,id_1,experiment_9,2018
0,1490,1159731.543624,1728000000.0,False,-1,21600.0,25915043.0,3.525326797508673,60.0,10740.60291792456,0.6536284970347956,7035.91482696505,1:57:15,"299 days, 22:37:23",2:59:00,0:00:03,0.9975297393171263,22.85,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_10,2018
0,1490,579865.771812,864000000.0,False,-1,21600.0,25915043.0,3.5289952931714526,60.0,10809.966485360439,0.6553429922882228,7103.17610497806,1:58:23,"299 days, 22:37:23",3:00:09,0:00:03,0.99492105353458,46.57,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_11,2018
0,1490,289932.885906,432000000.0,False,-1,21600.0,25915043.0,3.531050789459416,60.0,10918.86837386163,0.6587563951671273,7208.12385616643,2:00:08,"299 days, 22:37:23",3:01:58,0:00:03,0.9897671236730636,90.32,0.0,0.0,100,0.0,0.39,2.816657277809073e-06,77.0,0.0005561092574135864,id_1,experiment_12,2018
0,1490,1159731.543624,1728000000.0,False,-1,28800.0,25915043.0,3.5197879986003473,60.0,10740.266769756921,0.6536402109996512,7035.557825264693,1:57:15,"299 days, 22:37:23",2:59:00,0:00:03,0.9975120050767851,22.71,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_13,2018
0,1490,579865.771812,864000000.0,False,-1,28800.0,25915043.0,3.4976702188961815,60.0,10789.314465968771,0.6554072281006215,7082.622300862135,1:58:02,"299 days, 22:37:23",2:59:49,0:00:03,0.994823684189577,44.61,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_14,2018
0,1490,289932.885906,432000000.0,False,-1,28800.0,25915043.0,3.528451847540089,60.0,10946.96426466928,0.6590235694722548,7236.058342006131,2:00:36,"299 days, 22:37:23",3:02:26,0:00:03,0.9893670183992056,89.25,0.0,0.0,100,0.0,0.3,2.1666594444685183e-06,77.0,0.0005561092574135864,id_1,experiment_15,2018
0,1490,1159731.543624,1728000000.0,False,-1,36000.0,25915043.0,3.5471194763707463,60.0,10748.212532921178,0.6537023224841637,7043.401890176955,1:57:23,"299 days, 22:37:23",2:59:08,0:00:03,0.997417059623008,23.43,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_16,2018
0,1490,579865.771812,864000000.0,False,-1,36000.0,25915043.0,3.5206073077881057,60.0,10807.36039277047,0.6554472949565101,7100.590421392311,1:58:20,"299 days, 22:37:23",3:00:07,0:00:03,0.9947635382232803,46.25,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_17,2018
0,1490,289932.885906,432000000.0,False,-1,36000.0,25915043.0,3.5415453338010137,60.0,10903.907823667929,0.6587034025981847,7193.169325205431,1:59:53,"299 days, 22:37:23",3:01:43,0:00:03,0.9898470841329678,89.48,0.0,0.0,100,0.0,0.31,2.238881425950802e-06,77.0,0.0005561092574135864,id_1,experiment_18,2018
0,1490,1159731.543624,1728000000.0,False,-1,43200.0,25915043.0,3.5125958934713397,60.0,10738.832354274213,0.6535207999165968,7034.204164497298,1:57:14,"299 days, 22:37:23",2:58:58,0:00:03,0.9976938464887146,22.5,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_19,2018
0,1490,579865.771812,864000000.0,False,-1,43200.0,25915043.0,3.527917785852895,60.0,10805.518467283018,0.6552890102514918,7098.799843727654,1:58:18,"299 days, 22:37:23",3:00:05,0:00:03,0.9950029665794057,45.85,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_20,2018
0,1490,289932.885906,432000000.0,False,-1,43200.0,25915043.0,3.51218275577504,60.0,10898.373987605211,0.6588355784073658,7187.600761513882,1:59:47,"299 days, 22:37:23",3:01:38,0:00:03,0.9896486155499598,90.39,0.0,0.0,100,0.0,0.34,2.455547370397654e-06,77.0,0.0005561092574135864,id_1,experiment_21,2018
0,1490,1159731.543624,1728000000.0,False,-1,50400.0,25915043.0,3.5128869807726733,60.0,10752.316359402195,0.6535621858144068,7047.616491700041,1:57:27,"299 days, 22:37:23",2:59:12,0:00:03,0.997631012279804,23.68,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_22,2018
0,1490,579865.771812,864000000.0,False,-1,50400.0,25915043.0,3.489745456279421,60.0,10779.854687432673,0.6553480825010867,7073.098003392535,1:57:53,"299 days, 22:37:23",2:59:39,0:00:03,0.994913492435066,45.51,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_23,2018
0,1490,289932.885906,432000000.0,False,-1,50400.0,25915043.0,3.484579832453079,60.0,10915.055450156058,0.6587951551557704,7204.295352899387,2:00:04,"299 days, 22:37:23",3:01:55,0:00:03,0.9897086866851964,90.28,0.0,0.0,100,0.0,0.26,1.877771518539382e-06,77.0,0.0005561092574135864,id_1,experiment_24,2018
0,1490,1159731.543624,1728000000.0,False,-1,57600.0,25915043.0,3.5218393664697976,60.0,10745.416706021328,0.6535766936894515,7040.775429216564,1:57:20,"299 days, 22:37:23",2:59:05,0:00:03,0.9976087503186045,22.34,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_25,2018
0,1490,579865.771812,864000000.0,False,-1,57600.0,25915043.0,3.4423837471389636,60.0,10771.818601047455,0.6553879760817314,7065.006111338614,1:57:45,"299 days, 22:37:23",2:59:31,0:00:03,0.9948533368095718,46.0,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_26,2018
0,1490,289932.885906,432000000.0,False,-1,57600.0,25915043.0,3.5433351880288253,60.0,10904.483100217058,0.6588383757322371,7193.778797931734,1:59:53,"299 days, 22:37:23",3:01:44,0:00:03,0.9896456705549874,89.45,0.0,0.0,100,0.0,0.28,2.0222154815039503e-06,77.0,0.0005561092574135864,id_1,experiment_27,2018
0,1490,1159731.543624,1728000000.0,False,-1,64800.0,25915043.0,3.536914687960991,60.0,10737.423423941089,0.6537743360418672,7032.596044562645,1:57:12,"299 days, 22:37:23",2:58:57,0:00:03,0.9973072815570252,23.68,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_28,2018
0,1490,579865.771812,864000000.0,False,-1,64800.0,25915043.0,3.508641825323848,60.0,10783.99470633192,0.6553613161997575,7077.3260132662,1:57:57,"299 days, 22:37:23",2:59:43,0:00:03,0.994893636060027,46.05,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_29,2018
0,1490,289932.885906,432000000.0,False,-1,64800.0,25915043.0,3.5018754496515707,60.0,10870.243163908497,0.6586959574775054,7159.498825867224,1:59:19,"299 days, 22:37:23",3:01:10,0:00:03,0.9898582921151862,89.71,0.0,0.0,100,0.0,0.4,2.888879259291357e-06,77.0,0.0005561092574135864,id_1,experiment_30,2018
0,1490,1159731.543624,1728000000.0,False,-1,72000.0,25915043.0,3.5207120413967767,60.0,10737.72928920182,0.6536317550673907,7033.038305520604,1:57:13,"299 days, 22:37:23",2:58:57,0:00:03,0.9975249584030098,23.35,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_31,2018
0,1490,579865.771812,864000000.0,False,-1,72000.0,25915043.0,3.489469132462485,60.0,10769.782194084282,0.6552756098587273,7063.0507637255705,1:57:43,"299 days, 22:37:23",2:59:29,0:00:03,0.9950236732334854,46.05,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_32,2018
0,1490,289932.885906,432000000.0,False,-1,72000.0,25915072.43421,3.5241450944228863,60.0,10915.489966451556,0.6589308823780048,7204.65558896045,2:00:04,"299 days, 22:37:52",3:01:55,0:00:03,0.9895063725255396,90.28,0.0,0.0,100,0.0,0.32,2.3111034074330858e-06,77.0,0.0005561092574135864,id_1,experiment_33,2018
0,1490,1159731.543624,1728000000.0,False,-1,79200.0,25915043.0,3.550258261289642,60.0,10766.204812677386,0.6537677505795232,7061.378882004334,1:57:41,"299 days, 22:37:23",2:59:26,0:00:03,0.9973173858137169,24.18,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_34,2018
0,1490,579865.771812,864000000.0,False,-1,79200.0,25915043.0,3.4940837757401266,60.0,10774.042920952006,0.6552609261350768,7067.345140360902,1:57:47,"299 days, 22:37:23",2:59:34,0:00:03,0.9950461068623975,46.04,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_35,2018
0,1490,289932.885906,432000000.0,False,-1,79200.0,25915043.0,3.499046982162422,60.0,10914.293302210308,0.6588205430729207,7203.432641046129,2:00:03,"299 days, 22:37:23",3:01:54,0:00:03,0.9896724267669402,91.42,0.0,0.0,100,0.0,0.34,2.455547370397654e-06,77.0,0.0005561092574135864,id_1,experiment_36,2018
0,1490,1159731.543624,1728000000.0,False,-1,86400.0,25915043.0,3.505506073665829,60.0,10732.763985547728,0.6536441064607051,7028.025228681633,1:57:08,"299 days, 22:37:23",2:58:52,0:00:03,0.9975060556282129,23.46,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_37,2018
0,1490,579865.771812,864000000.0,False,-1,86400.0,25915043.0,3.497978261313432,60.0,10776.535743169512,0.6552065309049462,7069.8192022844205,1:57:49,"299 days, 22:37:23",2:59:36,0:00:03,0.9951282910773455,45.85,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_38,2018
0,1490,289932.885906,432000000.0,False,-1,86400.0,25915043.0,3.480510239495051,60.0,10879.337161838184,0.6586565405362304,7168.594407428257,1:59:28,"299 days, 22:37:23",3:01:19,0:00:03,0.9899184499817929,90.97,0.0,0.0,100,0.0,0.32,2.3111034074330858e-06,77.0,0.0005561092574135864,id_1,experiment_39,2018
